ID         Имя процесса                   Приоритет       Время запуска             Состояние            Время CPU           
10688      ServiceHub.Host.AnyCPU         8               17.01.2025 15:56:08       Работает             00:00:09.1562500    
5736       ServiceHub.Host.dotnet.x64     8               17.01.2025 15:56:08       Работает             00:00:02.9843750    
16360      ServiceHub.IntellicodeModelService 8               17.01.2025 15:56:08       Работает             00:00:01.1718750    
17016      ServiceHub.IndexingService     6               17.01.2025 15:56:10       Работает             00:00:01.5000000    
21448      ServiceHub.TestWindowStoreHost 8               17.01.2025 15:56:11       Работает             00:00:01.2187500    
17060      browser                        8               17.01.2025 16:51:57       Работает             00:00:00.2343750    
15432      browser                        4               17.01.2025 16:52:01       Работает             00:00:00.1562500    
22152      devenv                         8               17.01.2025 16:52:41       Работает             00:01:32.6250000    
20728      PerfWatson2                    8               17.01.2025 16:52:43       Работает             00:00:04.2968750    
19692      Microsoft.ServiceHub.Controller 8               17.01.2025 16:52:45       Работает             00:00:03.2500000    
1828       ServiceHub.VSDetouredHost      8               17.01.2025 16:52:45       Работает             00:00:03.9062500    
21300      ServiceHub.ThreadedWaitDialog  8               17.01.2025 16:52:47       Работает             00:00:02.6718750    
16220      ServiceHub.RoslynCodeAnalysisService 8               17.01.2025 16:52:52       Работает             00:00:33.6406250    
19516      ServiceHub.IdentityHost        8               17.01.2025 16:52:53       Работает             00:00:04.4218750    
3428       ServiceHub.Host.AnyCPU         8               17.01.2025 16:52:55       Работает             00:00:05.1875000    
13420      ServiceHub.IndexingService     6               17.01.2025 16:52:55       Работает             00:00:02.8125000    
19572      ServiceHub.IntellicodeModelService 8               17.01.2025 16:52:55       Работает             00:00:02            
23016      ServiceHub.Host.dotnet.x64     8               17.01.2025 16:52:55       Работает             00:00:03.7812500    
17012      ServiceHub.TestWindowStoreHost 8               17.01.2025 16:53:01       Работает             00:00:01.7968750    
12916      symsrvhost                     8               17.01.2025 16:56:12       Работает             00:00:00.0468750    
23104      conhost                        8               17.01.2025 16:56:12       Работает             00:00:00.0312500    
576        svchost                        8               Нет доступа               Работает             Нет доступа         
22104      svchost                        8               Нет доступа               Работает             Нет доступа         
1996       MSBuild                        8               17.01.2025 17:05:15       Работает             00:00:02.4218750    
1604       conhost                        8               17.01.2025 17:05:15       Работает             00:00:00.0156250    
10968      VBCSCompiler                   8               17.01.2025 17:05:17       Работает             00:00:04.4375000    
4196       conhost                        8               17.01.2025 17:05:17       Работает             00:00:00.0156250    
12060      VsDebugConsole                 8               17.01.2025 17:05:22       Работает             00:00:00.0312500    
20624      conhost                        8               17.01.2025 17:05:23       Работает             00:00:00.0156250    
21232      OpenConsole                    8               17.01.2025 17:05:23       Работает             00:00:00.1406250    
12252      WindowsTerminal                8               17.01.2025 17:05:23       Работает             00:00:01.0312500    
22324      RuntimeBroker                  8               17.01.2025 17:05:23       Работает             00:00:00.1250000    
21336      lab14                          8               17.01.2025 17:05:24       Работает             00:00:00.3281250    
